Customer_ID,Name,Age,SSN,Occupation,Annual_Income,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_Credit_Inquiries,Credit_Mix,Outstanding_Debt,Total_EMI_per_month
CUS_0x5b48,McBrideq,31,706-95-0150,Lawyer,12600.445,5,5,10,7.0,Standard,569.8,26.060347529205966
CUS_0xa5f9,Rickt,34,189-09-5267,Mechanic,57983.12,9,8,31,12.0,Bad,3532.83,200.43261339470683
CUS_0x4d43,Reijik,48,013-39-0742,Entrepreneur,20787.69,8,6,14,3.0,Standard,614.6,42.22199265643221
CUS_0xb95f,Ashleyk,30,467-13-1148,Writer,34290.12,9,8,25,9.0,Standard,2686.81,185.1119825795006
CUS_0x3edc,Williamso,32,663-16-3845,Accountant,43070.24,3,3,18,4.0,Standard,1233.1,30.57608482316153
CUS_0xbffe,Dhanya Skariachano,40,311-13-7309,Architect,28572.39,6,3,15,0.0,Standard,400.07,69.60292048199007
CUS_0xb681,Sarahb,37,904-88-7361,Manager,39641.54,10,8,25,568.0,Bad,2258.73,172.38252735862687
CUS_0x9a71,Mukhopadhyayc,55,889-07-2357,Scientist,20186.02,1,5,1,4.0,Good,413.32,29.534583720496048
CUS_0x6048,Ayeshaz,43,425-47-6723,Musician,18627.64,7,7,19,7.0,Bad,1793.54,65.13948777561222
CUS_0x95b5,Lisa Baertleinu,21,602-55-1355,Engineer,12986.745,4,3,10,7.0,Standard,1489.49,16.719300227776053
CUS_0x4004,Carlosj,43,679-26-6464,Writer,58317.0,8,5,9,6.0,Standard,98.97,149.89719942100822
CUS_0xb101,Andreas Cremerf,36,253-91-2822,Scientist,42171.98,2,7,10,4.0,Good,556.91,102.7629131170904
CUS_0x9b94,Bri,36,734-54-7098,Manager,71681.4,3,6,15,0.0,Standard,1293.02,53.92351397165268
CUS_0x706a,Matt Falloonz,19,431-58-4893,Engineer,72559.36,4,5,17,1.0,Standard,1173.7,215.83917063897167
CUS_0x42ac,Lawrencea,36,700-60-3660,Musician,15566.02,8,5,32,7.0,Standard,1693.95,43.07051960231588
CUS_0x571f,Emily Flitterl,18,397-28-9675,Developer,66567.32,5,7,5,1618.0,Standard,233.79,37602.0
CUS_0xb5ff,Nateg,32,060-81-1328,Media_Manager,12909.895,5,5,13,1.0,Standard,602.5,0.0
CUS_0x9bc1,Jaisinghanij,42,445-18-4420,Architect,20574.47,6,3,14,6.0,Standard,749.95,49.348666321498655
CUS_0xc65,Pomeroyi,21,473-91-5845,Lawyer,148699.32,3,4,748,1.0,Good,949.38,364.9151774048712
CUS_0xaedb,Olivia Oranr,19,272-47-1135,Musician,85554.03,4,2,3,3.0,Good,1095.73,0.0
CUS_0x609d,Shupingu,27,911-47-6879,Architect,14165.23,7,10,33,11.0,Bad,2797.17,58.86844083860843
CUS_0x75c6,John ODonnell,30,587-65-8904,Teacher,87215.68,2,6,8,0.0,Good,680.77,121.68201673654264
CUS_0x9b3c,Scheydere,43,224-48-7837,Lawyer,81842.28,10,9,25,9.0,Bad,3053.16,574.0657978713467
CUS_0x22a3,Nate Raymondj,38,477-90-5881,Doctor,95956.5,8,4,11,2.0,Standard,1079.73,95.5216287821567
CUS_0xb14,Edwardk,26,331-60-5414,Manager,49967.01,7,6,31,11.0,Standard,2253.95,156.00331166279182
CUS_0xbe1b,Kazunorit,43,853-17-1579,Developer,14129.76,8,5,21,6.0,Bad,4071.62,81.71265500803955
CUS_0x9ce6,Ekr,42,101-11-3105,Developer,123732.32,4,3,11,3.0,Good,1154.46,0.0
CUS_0x6ffb,Herbert Lashb,36,716-35-4628,Writer,17251.38,6,3,7,6.0,Standard,2431.64,57.35116518894053
CUS_0x4315,Christophd,22,908-69-0212,Entrepreneur,36822.29,8,7,6,4.0,Standard,125.25,81441.0
CUS_0x3f5b,Mikeh,25,744-11-7914,Doctor,80108.31,5,3,17,1.0,Standard,997.28,0.0
CUS_0x9d78,Tim Hepherp,20,423-77-6457,Scientist,69977.6,10,7,20,11.0,Bad,3042.36,485.75043098703753
CUS_0x8f17,Ermans,45,794-17-4490,Journalist,41746.76,8,5,5261,8.0,Bad,1936.79,102.28339754384292
CUS_0x7d0b,Isabel Reynoldsb,21,226-77-0587,Media_Manager,19981.6,10,8,20,12.0,Bad,4834.59,78.41827155188288
CUS_0x7504,Laup,19,389-89-4542,Lawyer,73737.36,7,3,18,2.0,Standard,1219.39,214.8134632011097
CUS_0x774,Christopher Doeringv,33,761-11-3016,Musician,88362.46,5,2,8,4.0,Good,325.93,211.1843903373817
CUS_0x9f70,Michelley,45,147-76-6929,Entrepreneur,118248.6,5,1,4,4.0,Good,191.09,0.0
CUS_0xab76,Stempelp,26,878-90-6321,Scientist,60162.1,5,7,5,7.0,Standard,1037.45,220.2137267039484
CUS_0x2184,Goldsteinv,18,496-44-5947,Media_Manager,54820.89,8,7,28,8.0,Bad,4795.13,169.48198431622052
CUS_0xa156,Silvia Aloisiq,42,405-46-7599,Entrepreneur,58674.66,8,5,15,11.0,Bad,2425.38,116.10341691461672
CUS_0x74f2,Colew,30,755-18-0308,Architect,30390.44,5,6,5,4.0,Standard,580.31,64.84803820501804
CUS_0x308b,Longstrethy,42,547-23-7195,Doctor,45207.54,8,8,24,9.0,Bad,2497.48,148.91327341500903
CUS_0x2827,Lisah,44,486-07-1289,Scientist,144546.72,0,3,7,1.0,Good,1045.11,136.9885566187904
CUS_0xa295,Patrick Temple-Westf,38,605-63-9678,Engineer,30346.35,5,4,14,5.0,Standard,523.56,96.72128021256924
CUS_0x6c2e,Dowsettk,46,558-25-1337,Mechanic,18681.465,2,3,9,1.0,Good,327.88,24.8214249786604
CUS_0x384c,David Henryp,41,813-91-8749,Scientist,9841.34,8,9,31,8.0,Bad,4984.82,36.67512791916932
CUS_0x6cbb,Oreskovicv,35,308-38-8791,Media_Manager,72330.98,0,262,11,1.0,Good,596.78,31.37979415843871
CUS_0x6649,Slaterf,19,548-03-9919,Mechanic,34106.78,8,5,17,0.0,Standard,996.54,0.0
CUS_0x6856,Gellerp,24,251-77-0979,Teacher,129067.59,1,3,1,0.0,Good,137.15,389.3056724525229
CUS_0xa27e,Papadimaso,34,898-94-0497,Architect,17001.34,6,5,5,0.0,Standard,1093.87,10.535555607461252
CUS_0x700d,Blenkinsopc,21,992-49-2793,Accountant,44719.17,6,6,29,11.0,Bad,3818.57,248.599885855438
CUS_0x78e0,Tagarish,47,352-67-4436,Accountant,17787.34,8,4,16,0.0,Standard,730.9,20.06363388435491
CUS_0x6794,Raymondl,50,204-14-2702,Teacher,103353.06,3,3,6,2.0,Good,1374.56,64.00168567310892
CUS_0xe2c,Andreasc,38,755-51-7133,Journalist,31021.24,7,7,11,4.0,Standard,852.81,90.7591784649516
CUS_0x36bb,Elinor Comlaye,36,837-45-5178,Journalist,134978.24,8,5,15,3.0,Standard,668.14,145.11182338766034
CUS_0xa77f,Jeanine Preziosor,28,074-21-6507,Writer,39800.12,7,5,12,4.0,Standard,660.69,58.48765733950958
CUS_0xa335,Lisa Baertleink,21,835-41-6871,Architect,66105.4,6,8,31,9.0,Bad,1549.56,214.07212305606225
CUS_0x71e0,Aruna Viswanathau,28,330-96-0638,Mechanic,15398.95,1,7,5,3.0,Good,343.84,34.81396985624466
CUS_0x4af0,Nicolacih,18,397-45-5329,Developer,27070.07,7,3,11,1.0,Standard,919.76,73.23331847935155
CUS_0x240d,Taiga Uranakan,55,087-22-6137,Musician,139354.48,3,1247,18,3.0,Standard,519.3,0.0
CUS_0x2652,Suev,22,062-29-3192,Teacher,18305.25,2,1,4,3.0,Good,363.51,0.0
CUS_0x259a,Allison Martelly,25,727-40-9990,Journalist,27865.26,4,3,6,5.0,Standard,635.59,17.69844332156168
CUS_0x28b5,Stempeln,36,016-73-2103,Architect,23404.86,6,5,7,5.0,Standard,35.54,0.0
CUS_0x8643,Steve Slatery,33,198-08-9791,Musician,14205.09,7,10,21,16.0,Bad,4845.24,49.03239546911298
CUS_0x12d5,ita Bosed,28,518-01-2262,Scientist,62320.56,9,9,18,10.0,Bad,3589.56,171.34555972446432
CUS_0x3f04,Jenniferu,25,465-93-9571,Manager,43758.34,5,6,12,1.0,Good,1194.28,56.31142051341512
CUS_0x62c6,B.u,20,860-36-1556,Writer,144881.68,3,4,15,2.0,Standard,404.51,414.65601320398537
CUS_0x398d,Leongy,38,407-06-9232,Media_Manager,108147.3,3,6,6,0.0,Standard,1113.06,211.1795815692456
CUS_0x618b,Vaughano,27,550-94-8995,Lawyer,17759.1,6,8,19,10.0,Bad,3598.39,64.55062048800421
CUS_0x7250,Doris Frankelj,37,651-67-7536,Teacher,85328.73,3,4,11,1.0,Good,585.05,68.4589661120162
CUS_0x6435,Alexei Oreskovicf,26,538-49-2118,Writer,134321.44,3,5,12,3.0,Standard,1428.68,253.68824370309895
CUS_0xb6ad,Jamiec,24,584-60-4961,Lawyer,61008.0,10,5,32,12.0,Standard,1755.81,189.4265306646308
CUS_0x7878,Anna Driverq,19,037-28-6132,Developer,28665.76,7,3,5,0.0,Standard,1237.46,22.68817757992469
CUS_0x35b5,Andrewm,18,432-18-5390,Lawyer,56803.71,7,5,25,11.0,Bad,2593.44,187.190218862138
CUS_0x7a0f,Soyoungc,31,838-98-6353,Architect,38364.82,9,6,32,11.0,Bad,1973.63,74.85037187731447
CUS_0x1c09,Ritsukoh,21,365-73-8387,Lawyer,66528.24,5,5,5189,2.0,Standard,1460.8,0.0
CUS_0x2c0d,ernieh,55,784-23-6447,Doctor,19403.405,1,7,3,2.0,Good,339.11,39.2149144347618
CUS_0x9073,Matt Falloono,19,751-65-6458,Journalist,31122.79,7,5,12,2.0,Standard,358.6,0.0
CUS_0x2813,John McCrankg,19,361-34-7350,Architect,15015.4,5,5,9,1.0,Good,330.17,11.685734566072789
CUS_0xac93,Hornbyg,34,744-52-9753,Engineer,19777.05,5,3,3,1.0,Good,186.16,29.045533320072103
CUS_0x8c69,Toonkelf,24,070-07-9414,Musician,20188.02,4,3,6,0.0,Good,399.92,25.58028081581637
CUS_0x365a,Aless ray,54,026-57-5729,Scientist,41345.58,0,5,10,7.0,Good,646.47,0.0
CUS_0x7586,Stevee,31,790-90-6437,Engineer,55151.04,10,6,23,9.0,Bad,1743.83,171.82306738090188
CUS_0x9c67,Mariy,39,977-57-0254,Manager,30536.62,6,6,7,4.0,Standard,687.87,42.97244101951375
CUS_0xa2f7,Kevinq,42,858-89-0350,Architect,20005.22,8,3,6,8.0,Standard,1859.45,59.51321413246297
CUS_0x5e17,Clarkew,32,970-52-2075,Scientist,19795.52,7,10,34,15.0,Bad,3135.02,130.47547071749042
CUS_0x1288,Taylorq,33,609-85-2725,Doctor,60938.13,10,8,31,9.0,Bad,3947.24,378.304673376643
CUS_0x567b,Marilynj,54,542-44-1751,Manager,80396.86,5,7,9,0.0,Good,1357.54,0.0
CUS_0x2365,Browningo,42,552-90-7532,Writer,57610.32,8,10,25,7.0,Bad,4428.64,256.2341792269896
CUS_0x8a04,Mutikanib,36,966-14-4315,Journalist,18717.02,8,5,15,10.0,Standard,2103.99,60.64699329311761
CUS_0xa9a6,Henry Foyi,55,600-76-4920,Musician,63536.98,4,5,12,4.0,Standard,89.62,69.10085253082353
CUS_0x3187,Jan Schwartze,40,024-52-4439,Architect,9983.345,7,11,15,11.0,Standard,1823.35,29.24151868964153
CUS_0x953c,Aruna Viswanathag,29,380-11-4962,Engineer,132872.72,3,3,10,2.0,Good,89.68,27228.0
CUS_0x4aaa,Caseyo,41,676-15-0435,Architect,140014.36,3,7,18,3.0,Standard,1151.7,348.6203964507333
CUS_0x2947,Carolinew,47,742-36-4668,Accountant,37071.2,1,6,6,3.0,Good,869.99,74.69027138495908
CUS_0x30e0,Appsq,20,644-19-7211,Entrepreneur,41735.55,0,3,8,2.0,Good,1480.92,109.61414671334232
CUS_0xc3b7,Ilainar,38,482-53-4479,Architect,40391.66,10,7,18,12.0,Bad,1950.62,60.370828399887685
CUS_0x1e9b,Taylorb,18,866-51-6415,Writer,7441.295,5,8,33,10.0,Standard,2569.3,71268.0
CUS_0x3b88,Mikex,40,944-94-9536,Scientist,19065.32,3,6,5,5.0,Standard,2008.06,76.21247400832009
CUS_0xae51,Josephine Masonz,46,082-17-4774,Entrepreneur,24585.55,3,4,14,0.0,Standard,195.38,30.447776935964107
CUS_0xb7ef,Samd,26,786-92-9485,Manager,15013.73,7,4,14,5.0,Standard,1403.17,37941.0
CUS_0xb288,Nicolacir,43,390-44-4596,Journalist,126006.68,4,3,2127,0.0,Standard,385.8,239.7673292742656
CUS_0x7a22,Sabam,49,478-48-4669,Developer,102885.32,3,5,16,4.0,Standard,605.34,74.1586635323227
CUS_0x9495,Freifeldo,38,817-92-8445,Teacher,34212.01,6,5,10,1.0,Standard,512.38,66.6764133130149
CUS_0x64f1,Michael Ermanl,26,955-39-6420,Entrepreneur,118487.16,8,4,20,1.0,Standard,140.26,301.5608682455748
CUS_0x6749,Subhadip Sircarf,26,109-19-0368,Mechanic,77418.52,7,9,20,6.0,Bad,3962.08,339.0310322831334
CUS_0xc1c9,Jessica Toonkelx,46,085-10-1065,Architect,24199.24,3,7,6,2.0,Good,784.35,13.886305431201704
CUS_0x230a,Lashx,47,902-99-6202,Musician,28587.29,4,1,7,0.0,Good,1496.38,47759.0
CUS_0x8928,Ernest Scheyderr,31,137-96-5829,Manager,16578.115,3,5,15,2.0,Standard,1054.86,21.42597208431386
CUS_0x682f,en Klaymant,20,941-62-4990,Writer,74647.4,6,5,20,8.0,Bad,4167.43,309.5754020995854
CUS_0x4831,Sharpq,43,696-84-8348,Mechanic,34766.06,0,1,11,0.0,Good,1374.23,78.09310673608609
CUS_0x32a5,John ODonnellf,22,900-72-1051,Engineer,16852.635,4,6,9,6.0,Standard,775.22,0.0
CUS_0x710f,Morganz,20,805-31-3666,Scientist,33502.1,7,9,27,9.0,Standard,2362.68,158.60792715213003
CUS_0xa54b,Ben Berkowitze,27,732-98-2688,Media_Manager,91690.53,2,6,3325,2.0,Good,1295.18,130.85085776482154
CUS_0x564a,Rick Rothackerq,36,763-78-4306,Entrepreneur,30502.54,8,7,24,8.0,Standard,1672.68,154.3933582633662
CUS_0xb000,Frazierm,20,087-15-2781,Media_Manager,30272.61,3,3,15,8.0,Standard,180.94,17.975850989790292
CUS_0x2584,Steven C.z,31,742-33-7816,Accountant,59971.42,8,5,6,0.0,Standard,203.03,107.93724129573393
CUS_0x5a3f,Dineshi,32,818-84-4299,Accountant,42220.39,1,4,1,1.0,Good,257.81,135.2703961897122
CUS_0xc341,Carlos Ruanov,51,982-11-3853,Architect,43581.13,4,3,4595,2.0,Good,900.83,103.03307766103524
CUS_0x1a96,Sinead Carewi,50,405-79-5399,Media_Manager,28681.38,3,5,2,4.0,Good,467.64,0.0
CUS_0xb7a1,Danielb,33,929-30-5884,Doctor,35376.32,8,3,19,7.0,Standard,1166.47,58.2166703210756
CUS_0x31d5,Mutikanit,48,325-07-8725,Doctor,15488.885,0,4,4,4.0,Good,1287.59,0.0
CUS_0x45f7,Cheez,26,322-37-0548,Entrepreneur,19853.35,7,4,6,1.0,Standard,816.46,28.071965473150293
CUS_0x6617,Luciaw,32,276-40-7171,Writer,115643.01,3,7,2,1.0,Good,951.36,195.39400914592812
CUS_0x5b80,Edward Taylorz,44,549-37-6666,Journalist,7512.225,7,7,14,7.0,Standard,540.07,20.686107686895213
CUS_0xb9ea,Aileen Wangy,33,202-04-9323,Writer,9133.045,6,7,34,11.0,Bad,3035.88,30.20103247533153
CUS_0x54c0,Hollx,22,934-98-5531,Entrepreneur,19283.47,10,8,34,12.0,Bad,4404.48,84.6164317306805
CUS_0x258b,Alastair Sharpe,23,890-04-0712,Scientist,66502.76,0,6,1,2.0,Good,276.91,80.100174314101
CUS_0x4bb4,ill Rigbys,33,742-40-7361,Media_Manager,9444.795,7,8,28,7.0,Standard,1701.58,27.59495029732186
CUS_0x8e75,Alisteri,46,854-67-0053,Doctor,70112.78,1,7,3,2.0,Good,877.06,69.71794787486095
CUS_0x4028,Papachristouy,36,407-45-5883,Manager,68935.26,1,5,8,4.0,Good,457.81,102.79630864901532
CUS_0x8db8,Aileen Wanga,42,451-74-2945,Doctor,31807.0,8,3,14,1.0,Standard,611.04,35.55369086237439
CUS_0x1e63,Aileen Wangy,36,341-75-1132,Musician,10025.2,10,10,21,12.0,Standard,1409.58,41.43157633631988
CUS_0x4948,Robinsonc,39,432-73-5991,Media_Manager,64036.88,8,4,15,4.0,Standard,1635.19,127.82606133041408
CUS_0xc37b,Thomaso,29,919-05-3349,Teacher,9783.245,8,6,29,7.0,Bad,1684.06,52.83913367020968
CUS_0xfcc,Suvashree Deyy,22,388-13-4625,Accountant,86522.72,8,5,13,8.0,Standard,455.22,45.2646813787989
CUS_0x64ce,Lopezu,21,066-73-7172,Lawyer,124419.66,3,4,11,0.0,Good,923.85,344.18153557232336
CUS_0x9574,Viswanathan,50,778-83-5214,Entrepreneur,15606.515,3,4,6,2.0,Good,257.85,35.62637254261307
CUS_0xbc88,Matthew Goldsteinb,24,648-41-8012,Developer,28230.92,8,6,32,11.0,Bad,2989.13,132.48112788009803
CUS_0x661b,Jennifer Ablanc,28,926-72-2848,Developer,10623.765_,6,3,18,7.0,Standard,181.68,26.515279960070053
CUS_0xc51,Danv,19,269-33-7962,Teacher,11970.955,8,4,7,1.0,Standard,889.62,14.885194696934184
CUS_0x9536,Sabar,40,782-09-5812,Manager,112362.76,4,4,5,2.0,Standard,1358.65,236.27765779486907
CUS_0xc5a0,Gillesb,20,650-73-8163,Manager,33335.24,1,6,8,4.0,Good,1226.23,21.53854806279936
CUS_0xb282,Sara Rossii,32,273-80-9678,Manager,131577.84,2,3,3,2.0,Good,816.21,185.4121959034533
CUS_0xb9b8,Dhanya Skariachand,48,867-87-8867,Entrepreneur,32314.44,2,5,5,0.0,Good,1339.6,80.21419153549967
CUS_0x3e81,Chuck Mikolajczaky,20,443-33-4707,Manager,61235.6,0,5,7,2.0,Good,71.52,27.65459979566915
CUS_0x3702,Barbashr,50,232-80-7977,Journalist,19078.93,5,7,20,4.0,Standard,265.86,0.0
CUS_0x8a0f,Pelofskyv,34,419-92-2278,Mechanic,83703.52,6,9,27,10.0,Bad,4525.08,363.23731168748384
CUS_0x21be,Ransdellx,45,340-80-4117,Musician,99127.04,8,3,10,7.0,Standard,1126.35,245.9851478363627
CUS_0x67e1,Cablef,42,298-35-2655,Lawyer,135895.96,8,4,6,1.0,Good,429.77,0.0
CUS_0x1c06,Scuffhamx,21,051-71-5276,Doctor,29608.46,7,8,31,10.0,Bad,1286.07,141.76428225323713
CUS_0x5761,Taylora,29,154-57-8374,Entrepreneur,29999.94,10,9,15,10.0,Bad,2593.23,101.64748417267153
CUS_0x100b,Shirboni,18,238-62-0395,Media_Manager,113781.38999999998,1,4,1,1.0,Good,1030.2,0.0
CUS_0x6325,Andyc,30,964-44-0435,Lawyer,15746.63,4,3,18,4.0,Standard,2098.83,44.04040477401768
CUS_0x4e3c,Toonkeld,19,624-70-5384,Lawyer,97961.96,4,6,6,0.0,Good,750.95,0.0
CUS_0xb217,Deepa Seetharamanv,47,565-56-8270,Architect,31895.07,3,6,2,2.0,Good,220.33,60.32284544467706
CUS_0x1d4e,McCranke,37,182-25-5092,Journalist,25530.33,3,4,19,8.0,Standard,761.18,0.0
CUS_0x8a4b,Ilainac,51,142-99-2481,Doctor,110786.63999999998,4,6,5,2.0,Standard,226.7,209.314506964946
CUS_0x93ff,Roumeliotisv,26,237-50-9740,Lawyer,39696.98,5,5,10,1.0,Good,133.3,31.906580170809523
CUS_0x3e2d,Manuelap,34,958-76-6001,Journalist,120366.6,4,7,2,3.0,Good,1396.64,233.4424036237371
CUS_0x493c,Taylorj,51,977-92-2690,Mechanic,13074.395,8,7,8,2.0,Good,1048.26,9.175797471274404
CUS_0x88a0,Tarmov,30,266-68-0248,Manager,76087.68,6,3,9,2.0,Standard,50.22,232.06607700765412
CUS_0x543f,Lucia Mutikanid,23,333-87-6291,Mechanic,51824.94,6,7,26,8.0,Bad,2958.02,257.6594544707495
CUS_0x9f7e,Michael Ermani,31,541-63-9508,Journalist,11431.775,8,6,16,3.0,Standard,117.57,29.485471340503853
CUS_0x23a6,Valetkevitchm,38,564-11-2906,Doctor,14224.655,8,6,13,1.0,Standard,1343.01,7.642056540954449
CUS_0xa874,Camposg,46,742-30-5692,Musician,142170.12,3,4,2621,3.0,Good,282.56,183.75951310113632
CUS_0x4ea5,Schnurrk,45,407-67-3737,Mechanic,19951.765,1,1,12,0.0,Good,1463.07,28.21305815261517
CUS_0x8208,Jonathan Spicers,55,084-02-0981,Teacher,94454.1,1,4,5,4.0,Good,1342.61,152.50689472836868
CUS_0xb35f,Nicolacia,28,794-17-7391,Doctor,27063.43,8,3,12,2.0,Standard,1205.36,74.73897797254129
CUS_0x8696,Aileen Wangw,44,579-41-4525,Media_Manager,36980.1,6,10,29,12.0,Standard,2403.26,174.0872208516925
CUS_0x49da,Lashh,26,915-13-4225,Teacher,96582.24,3,3,13,0.0,Standard,482.88,72.46021109841324
CUS_0x5d94,Tom Milese,39,653-16-0086,Developer,122978.43,0,1,9,2.0,Good,1197.33,168.0066863638793
CUS_0x3ef5,Robinsonl,52,259-09-9023,Doctor,7821.24,8,10,29,7.0,Bad,2924.76,19.727923492291534
CUS_0xbda3,Chris Vellacotte,22,016-19-9621,Manager,30972.54,7,9,16,10.0,Standard,2203.46,35.63379961862531
CUS_0x29fd,Steven C.g,28,165-17-6571,Developer,7709.625,7,9,31,12.0,Bad,2518.98,24.40931155050104
CUS_0xbbf3,Laura Noonanp,53,111-86-2174,Journalist,34547.54,6,6,5,1.0,Good,939.31,27.764710968035736
CUS_0x2c31,Yokog,30,680-06-0631,Musician,173196.32_,4,7,9,4.0,Good,967.23,107.8108996477876
CUS_0xb4be,Carrick Mollenkampu,19,976-78-6014,Engineer,20354.85,8,6,30,10.0,Bad,4288.63,80.21854912819705
CUS_0xa203,Deepa Seetharamanc,40,986-88-3065,Entrepreneur,46113.81_,7,5,24,6.0,Standard,2530.66,55.775947048868936
CUS_0x76e7,env,26,532-39-3348,Manager,34128.92,6,8,31,13.0,Bad,2626.28,118.06685464217024
CUS_0x46d4,Chann,43,038-09-8528,Scientist,29042.45,3,5,5,3.0,Standard,1092.55,16.756706537779973
CUS_0x396e,Eileene,32,186-66-1832,Architect,26716.09,4,5,6,1.0,Standard,643.89,55.139932860142096
CUS_0xb9e5,Katev,44,616-71-3032,Media_Manager,8681.77,6,9,23,12.0,Bad,2216.25,28.44218887394765
CUS_0xacbe,Henryg,37,406-29-0152,Media_Manager,10034.55_,4,4,28,5.0,Standard,1669.84,41.08254704356354
CUS_0x9951,Doug Palmerf,40,735-73-7454,Teacher,20540.49,0,102,8,2.0,Good,1118.37,8.821659718564948
CUS_0xbcb9,Oreskovicb,51,441-44-7311,Musician,38175.39,1,2,7,2.0,Good,315.36,69.05565634105422
CUS_0xae95,Peterw,22,801-07-4941,Accountant,116594.91,5,6,10,0.0,Good,1124.02,171.07702427754958
CUS_0x1f9e,Joyce Leeo,48,192-60-6723,Manager,24894.05,8,3,8,4.0,Standard,86.43,0.0
CUS_0x2242,Barrf,38,067-10-5283,Teacher,39399.9,6,6,17,12.0,Standard,2206.86,43.17129879936478
CUS_0x3e85,Julienz,24,863-16-6413,Musician,142113.96,6,4,17,8.0,Standard,1037.68,224.1221385952656
CUS_0xa47,Jonathan Stempelm,47,815-90-8113,Mechanic,65299.38,4,5,1352,1.0,Good,1177.38,77.00931295128329
CUS_0xaa40,Onoszkoz,52,278-80-9296,Manager,33200.52,1429,4,20,4.0,Standard,1290.73,28.064296618865253
CUS_0x1452,Sarah Whited,40,976-05-6851,Architect,82289.36,8,8,22,11.0,Bad,4736.25,240.7514411019908
CUS_0x76cf,Catherine Bosleyn,39,656-17-2477,Entrepreneur,7792.475,6,7,16,9.0,Standard,2041.74,42.09972159510485
CUS_0x703f,Annikam,36,830-01-1609,Writer,65778.22,5,3,11,4.0,Standard,705.44,172.53053327914932
CUS_0x572,Tom Halsb,44,643-37-2319,Teacher,12016.0,6,3,14,0.0,Standard,583.27,20.743543735392677
CUS_0x104e,Kentaros,50,837-93-5062,Teacher,19180.87,8,4,18,1.0,Standard,1127.57,57.36421100960239
CUS_0x6f38,Ransdellj,30,593-29-9633,Entrepreneur,60552.76,3,7,12,4.0,Good,463.07,111.72882006933048
CUS_0x7b3c,ray,40,397-72-8040,Mechanic,44386.47,10,6,26,12.0,Bad,1275.46,298.8485302847755
CUS_0x709d,Palmers,40,042-91-6695,Lawyer,9141.63,9,6,33,12.0,Bad,2506.45,27.80112878294196
CUS_0xc434,Mariannae,35,891-36-0838,Journalist,11245.11,3,6,11,1.0,Standard,169.86,0.0
